id,Car,Heavy_Vehicles,Motorcycle,Other,Pedalcycle
346653,1,0,1,0,0
346654,3,0,0,0,0
346655,1,0,0,0,0
346656,0,1,0,0,0
346657,1,0,1,0,0
346658,1,0,0,0,0
346659,2,0,0,0,0
346660,1,0,1,0,0
346661,2,0,0,0,0
346662,2,0,0,0,0
346663,1,0,0,0,1
346664,1,0,0,0,1
346665,1,0,0,0,0
346666,1,0,0,0,0
346667,1,0,0,0,0
346668,1,0,0,0,0
346669,1,0,0,0,1
346670,1,0,0,0,0
346671,1,0,1,0,0
346672,1,0,0,0,1
346673,1,0,0,0,2
346674,2,0,0,0,0
346675,1,0,0,0,1
346676,2,0,0,0,0
346677,0,0,1,0,0
346678,0,1,0,0,0
346679,1,0,1,0,0
346680,1,0,0,0,1
346681,2,0,0,0,0
346682,2,0,0,0,1
346683,0,1,0,0,0
346684,1,0,1,0,0
346685,1,1,0,0,0
346686,2,0,0,0,0
346687,1,0,0,0,1
346688,1,0,0,0,0
346689,0,1,0,0,0
346690,0,0,2,0,0
346691,2,0,0,0,0
346692,1,0,0,0,0
346693,0,0,1,0,0
346694,2,0,0,0,0
346695,1,0,0,0,0
346696,3,0,0,0,0
346697,2,0,0,0,0
346698,2,0,0,0,0
346699,2,0,0,0,0
346700,0,1,0,0,0
346701,1,0,0,0,0
346702,1,0,0,0,0
346703,1,0,0,0,1
346704,1,0,0,0,0
346705,2,0,1,0,0
346706,1,0,0,0,1
346707,1,0,1,0,0
346708,2,0,0,0,0
346709,1,0,0,0,0
346710,1,0,1,0,0
346711,3,0,0,0,0
346712,2,0,0,0,0
346713,1,0,1,0,0
346714,1,0,1,0,0
346715,1,0,1,0,0
346716,1,0,1,0,0
346717,1,0,1,0,0
346718,0,1,0,0,0
346719,1,0,0,0,0
346720,1,0,1,0,0
346721,1,0,0,0,1
346722,2,0,0,0,0
346723,1,0,1,0,0
346724,2,0,0,0,0
346725,1,0,2,0,0
346726,2,0,0,0,0
346727,1,0,0,0,0
346728,1,0,0,0,1
346729,3,0,0,0,0
346730,0,0,1,0,0
346731,1,0,0,0,0
346732,2,0,0,0,0
346733,2,0,0,0,0
346734,1,0,1,0,0
346735,2,0,0,0,0
346736,1,0,0,0,0
346737,3,0,0,0,0
346738,1,0,0,0,0
346739,1,0,0,0,1
346740,1,0,1,0,0
346741,1,0,1,0,0
346742,1,0,0,0,1
346743,2,0,0,0,0
346744,1,0,1,0,0
346745,1,0,1,0,0
346746,1,0,1,0,0
346747,2,0,0,0,0
346748,1,0,0,0,0
346749,3,0,0,0,0
346750,1,0,0,1,0
346751,2,0,0,0,0
346752,2,0,0,0,0
346753,1,0,0,0,0
346754,2,0,0,0,0
346755,2,0,0,0,0
346756,1,0,1,0,0
346757,1,0,0,0,0
346758,2,0,1,0,0
346759,1,0,0,0,0
346760,1,0,0,0,0
346761,1,0,0,0,0
346762,0,1,0,0,0
346763,2,0,0,0,0
346764,2,0,1,0,0
346765,2,0,0,0,0
346766,1,0,1,0,0
346767,1,0,0,0,0
346768,1,0,0,0,0
346769,1,0,1,0,0
346770,1,0,0,0,0
346771,1,0,0,1,0
346772,1,0,0,0,0
346773,3,0,0,0,0
346774,0,1,0,0,0
346775,1,0,0,0,0
346776,1,0,0,0,0
346777,1,0,0,0,1
346778,1,0,0,0,0
346779,2,0,0,0,0
346780,1,0,0,0,0
346781,1,0,1,0,0
346782,1,0,0,0,0
346783,2,0,0,0,0
346784,1,0,0,0,0
346785,1,0,0,0,1
346786,2,0,0,0,0
346787,2,0,0,0,0
346788,1,0,1,0,0
346789,1,0,0,0,0
346790,2,0,0,0,0
346791,2,0,0,0,0
346792,2,0,0,0,0
346793,3,0,0,0,0
346794,1,0,0,0,0
346795,2,0,0,0,0
346796,2,0,0,0,0
346797,2,0,0,0,0
346798,1,0,0,1,0
346799,0,1,0,0,0
346800,1,0,0,0,1
346801,2,0,0,0,0
346802,1,0,0,0,0
346803,2,0,0,0,0
346804,2,0,0,0,0
346805,1,0,0,0,1
346806,1,0,0,0,0
346807,1,0,0,0,0
346808,0,0,0,0,1
346809,3,0,0,0,0
346810,1,0,0,0,0
346811,2,0,0,0,0
346812,1,0,0,0,0
346813,2,1,0,0,0
346814,1,0,1,0,0
346815,2,0,0,0,0
346816,2,0,0,0,0
346817,1,0,0,0,0
346818,0,0,1,0,0
346819,1,0,0,0,0
346820,2,0,0,0,0
346821,1,0,1,0,0
346822,1,0,0,0,1
346823,2,0,0,0,0
346824,0,1,0,0,0
346825,1,0,1,0,0
346826,2,0,0,0,0
346827,5,0,0,0,0
346828,1,0,0,0,1
346829,2,0,0,0,0
346830,2,0,0,0,0
346831,1,0,0,0,0
346832,1,0,0,0,0
