id,time_of_day
367288,Night
367289,Early Morning
367290,Early Morning
367291,Early Morning
367292,Morning
367293,Early Morning
367294,Midday
367295,Early Morning
367296,Early Morning
367297,Morning
367298,Midday
367299,Early Morning
367300,Early Morning
367301,Early Morning
367302,Morning
367303,Early Morning
367304,Midday
367305,Early Morning
367306,Morning
367307,Morning
367308,Evening
367309,Morning
367310,Night
367311,Morning
367312,Morning
367313,Midday
367314,Midday
367315,Morning
367316,Midday
367317,Night
367318,Evening
367319,Early Morning
367320,Early Morning
367321,Night
367322,Early Morning
367323,Midday
367324,Morning
367325,Evening
367326,Night
367327,Morning
367328,Afternoon
367329,Early Morning
367330,Midday
367331,Midday
367332,Midday
367333,Morning
367334,Morning
369652,Morning
369653,Morning
369654,Morning
369655,Morning
369656,Morning
369657,Morning
369658,Morning
369659,Morning
369660,Early Morning
369661,Morning
369662,Morning
369663,Early Morning
369664,Early Morning
369665,Early Morning
369666,Evening
369667,Early Morning
369668,Midday
369669,Midday
369670,Midday
369671,Midday
369672,Midday
369673,Evening
369674,Midday
369675,Midday
369676,Midday
369677,Early Morning
369678,Midday
369679,Midday
369680,Afternoon
369681,Morning
369682,Afternoon
369683,Afternoon
369684,Night
369685,Afternoon
369686,Midday
369687,Afternoon
369688,Midday
369689,Afternoon
369690,Evening
369691,Midday
369692,Afternoon
369693,Night
369694,Evening
369695,Afternoon
369696,Evening
369697,Evening
369698,Midday
369699,Early Morning
369700,Night
369701,Night
369702,Night
369703,Night
369704,Night
369705,Early Morning
369706,Night
369707,Early Morning
369708,Early Morning
369709,Early Morning
355582,Midday
355583,Morning
355584,Morning
355585,Night
355586,Morning
355587,Early Morning
355588,Afternoon
355589,Night
355590,Evening
355591,Morning
355592,Early Morning
355593,Morning
355594,Early Morning
355595,Early Morning
355596,Midday
355597,Morning
355598,Early Morning
355599,Morning
355600,Afternoon
355601,Early Morning
355602,Midday
355603,Midday
355604,Midday
355605,Midday
355606,Early Morning
355607,Night
355608,Midday
355609,Night
355610,Midday
355611,Midday
355612,Midday
355613,Midday
355614,Midday
355615,Midday
355616,Early Morning
355617,Afternoon
355618,Early Morning
355619,Morning
355620,Night
355621,Afternoon
355622,Morning
355623,Evening
355624,Afternoon
355625,Midday
355626,Midday
355627,Midday
355628,Afternoon
355629,Afternoon
355630,Afternoon
355631,Morning
355632,Early Morning
355633,Afternoon
355634,Midday
355635,Afternoon
355636,Midday
355637,Afternoon
345828,Afternoon
345829,Night
345830,Early Morning
345831,Early Morning
345832,Early Morning
345833,Early Morning
345834,Early Morning
345835,Early Morning
345836,Early Morning
345837,Early Morning
345838,Early Morning
345839,Early Morning
345840,Early Morning
345841,Early Morning
345842,Early Morning
345843,Early Morning
345844,Early Morning
345845,Early Morning
345846,Early Morning
345847,Early Morning
345848,Morning
345849,Midday
345850,Midday
345851,Early Morning
345852,Morning
345853,Midday
345854,Afternoon
345855,Afternoon
345856,Early Morning
345857,Afternoon
345858,Midday
345859,Evening
345860,Night
345861,Night
345862,Early Morning
345863,Evening
345864,Afternoon
345865,Evening
345866,Evening
345867,Evening
345868,Night
345869,Evening
345870,Night
345871,Early Morning
345872,Early Morning
345873,Early Morning
345874,Afternoon
345875,Morning
345876,Morning
345877,Afternoon
345878,Morning
345879,Night
345880,Morning
345881,Midday
345882,Early Morning
345883,Midday
357899,Night
357900,Night
357901,Early Morning
357902,Morning
357903,Evening
357904,Early Morning
357905,Midday
357906,Midday
357907,Early Morning
357908,Early Morning
357909,Evening
357910,Early Morning
357911,Early Morning
357912,Early Morning
357913,Evening
357914,Early Morning
357915,Morning
357916,Morning
357917,Afternoon
357918,Midday
357919,Morning
357920,Morning
357921,Morning
357922,Night
357923,Morning
357924,Morning
357925,Midday
357926,Morning
357927,Evening
357928,Evening
357929,Afternoon
357930,Early Morning
357931,Morning
357932,Early Morning
357933,Midday
357934,Morning
357935,Early Morning
357936,Midday
357937,Morning
357938,Midday
357939,Afternoon
357940,Midday
357941,Afternoon
357942,Midday
357943,Midday
357944,Afternoon
357945,Midday
357946,Afternoon
357947,Early Morning
357948,Evening
357949,Afternoon
357950,Midday
357951,Night
357952,Night
357953,Midday
357954,Evening
345884,Midday
345885,Evening
345886,Afternoon
345887,Evening
345888,Midday
345889,Afternoon
345890,Midday
345891,Afternoon
345892,Early Morning
345893,Night
345894,Evening
345895,Midday
345896,Night
345897,Evening
345898,Night
345899,Evening
345900,Evening
345901,Evening
345902,Afternoon
345903,Night
345904,Evening
345905,Midday
345906,Early Morning
345907,Night
345908,Evening
345909,Early Morning
