id,lat,lon,severity,time_of_day_Night,time_of_day_Morning,time_of_day_Afternoon,time_of_day_Evening,month,day_of_week,risk_level_encoded
348418,51.542513,-0.254834,0,0,1,0,0,2,3,1
348419,51.481779,-0.180938,0,0,1,0,0,2,3,1
348420,51.583447,0.009827,0,0,0,0,1,2,3,0
348421,51.651522,-0.070111,0,0,0,1,0,2,1,1
348422,51.473746,-0.083095,0,0,1,0,0,2,3,2
348423,51.530669,-0.184266,0,0,0,0,1,2,3,2
348424,51.434818,-0.128233,0,0,0,1,0,2,3,2
348425,51.420584,-0.187223,0,0,0,1,0,2,3,1
348426,51.519846,-0.056036,0,0,1,0,0,2,3,2
348427,51.429459,0.012298,0,0,0,1,0,2,5,1
348428,51.407082,-0.222208,0,0,0,1,0,2,3,1
348429,51.420106,-0.106426,0,0,1,0,0,2,3,2
348430,51.468412,-0.364982,0,1,0,0,0,2,4,1
348431,51.356536,0.08172,0,1,0,0,0,2,4,1
348432,51.594198,-0.168466,0,0,1,0,0,2,3,2
348433,51.488118,-0.269961,0,0,0,1,0,2,3,1
348434,51.605385,-0.071404,0,0,0,0,1,1,1,1
348435,51.537537,0.040725,0,0,0,1,0,2,3,2
348436,51.533896,-0.057298,0,0,1,0,0,2,4,2
348437,51.492717,-0.083452,1,0,0,1,0,2,3,2
348438,51.432368,-0.163824,0,0,0,1,0,2,3,2
348439,51.499257,-0.240782,0,0,0,1,0,2,3,0
348440,51.52835,-0.033183,0,0,0,0,1,2,3,2
348441,51.588929,-0.070325,0,0,0,1,0,2,3,1
348442,51.552806,0.053626,0,1,0,0,0,2,1,2
348443,51.571894,0.08342,1,0,0,1,0,2,3,0
348444,51.591512,-0.38095,0,0,0,0,1,2,2,0
348445,51.318962,-0.106819,0,0,0,1,0,2,3,2
348446,51.499873,-0.126145,0,0,1,0,0,2,3,2
348447,51.592452,0.213044,0,0,0,1,0,2,0,0
348448,51.473477,-0.069988,0,0,1,0,0,2,4,2
348449,51.64281,-0.255263,0,0,0,1,0,2,2,2
348450,51.551665,0.129232,0,0,0,0,1,1,5,0
348451,51.489378,0.077222,0,0,1,0,0,2,3,0
348452,51.577974,-0.032846,0,0,1,0,0,2,3,0
