id,casualty_age_0-23,casualty_age_24-30,casualty_age_31-38,casualty_age_39-50,casualty_age_50+
346321,0,0,0,1,0
346322,0,0,1,0,0
346323,0,0,1,0,0
346324,1,0,0,0,0
346325,0,1,1,0,0
346326,0,0,0,0,1
346327,0,0,0,0,1
346328,1,0,0,0,0
346329,2,0,0,1,0
346330,3,0,0,1,0
346331,1,0,0,0,0
346332,1,0,0,0,0
346333,1,0,0,0,0
346334,0,0,0,1,0
346335,1,0,0,0,0
346336,0,1,0,0,0
346337,1,0,0,0,0
346338,0,1,0,0,0
346339,1,0,0,0,0
346340,0,2,0,1,0
346341,1,0,0,0,0
346342,0,0,0,0,1
346343,1,0,0,0,1
346344,0,1,0,0,0
346345,0,1,0,0,0
346346,0,1,0,0,0
346347,1,0,0,0,0
346348,0,0,0,0,1
346349,0,0,1,0,0
346350,0,0,0,1,0
346351,0,1,0,1,0
346352,0,0,0,0,1
346353,0,0,1,0,0
346354,1,0,0,0,0
346355,0,0,0,1,0
346356,0,0,0,0,1
346357,0,0,0,1,0
346358,0,0,1,0,0
346359,0,1,0,0,0
346360,0,0,0,1,0
346361,0,0,1,0,0
346362,0,0,1,0,0
346363,0,0,1,0,0
346364,0,0,1,0,0
346365,1,0,0,0,0
346366,0,1,0,0,0
346367,0,0,0,0,1
346368,0,0,0,1,0
346369,0,1,0,0,0
346370,0,1,0,0,0
346371,0,1,0,0,0
346372,0,0,0,0,1
346373,0,0,0,0,1
346374,0,0,0,0,1
346375,0,0,0,0,1
346376,0,0,0,0,1
346377,0,0,0,1,0
346378,0,0,0,0,1
346379,0,0,0,1,0
346380,0,0,1,0,0
346381,0,0,1,0,0
346382,0,0,0,0,1
346383,0,0,0,1,0
346384,0,0,0,1,0
346385,1,0,0,0,0
346386,0,0,0,0,1
346387,0,1,0,0,0
346388,1,0,0,0,0
346389,0,0,1,0,0
346390,0,1,0,0,0
346391,1,0,0,0,0
346392,0,0,1,0,0
346393,0,0,1,0,0
346394,0,0,1,0,0
